Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R49,10k,R_0603_1608Metric,140.4,-123.65,0.0,top
R5,3000 / 0.25W,R_1210_3225Metric,104.73,-129.5125,-90.0,top
R50,10k,R_0603_1608Metric,142.969158,-131.431229,-90.0,top
R51,33,R_0603_1608Metric,140.6,-130.6,180.0,top
R52,33,R_0603_1608Metric,140.373139,-125.238053,180.0,top
R53,2k2,R_0603_1608Metric,121.898959,-95.722257,0.0,top
R54,33,R_0603_1608Metric,121.914435,-97.295983,180.0,top
R55,2k2,R_0603_1608Metric,118.270076,-101.249735,-90.0,top
R56,33,R_0603_1608Metric,120.568579,-100.460261,0.0,top
R57,33,R_0603_1608Metric,114.651325,-96.25,90.0,top
R58,100k / 0.5%,R_0603_1608Metric,121.404775,-48.656406,90.0,top
R59,22k / 0.5%,R_0603_1608Metric,118.2,-48.575,-90.0,top
R6,10k,R_0603_1608Metric,147.4,-56.8,180.0,top
R60,100k / 0.5%,R_0603_1608Metric,125.98645,-63.355388,-90.0,top
R61,22k / 0.5%,R_0603_1608Metric,123.625,-62.6,180.0,top
R62,33,R_0603_1608Metric,120.540418,-103.703186,180.0,top
R63,33,R_0603_1608Metric,102.590968,-107.301,-90.0,top
R64,33,R_0603_1608Metric,91.0,-106.981204,-90.0,top
R65,33,R_0603_1608Metric,146.4,-77.6,0.0,top
R66,33,R_0603_1608Metric,153.6,-78.6,-90.0,top
R67,33,R_0603_1608Metric,159.0,-78.6,-90.0,top
R68,33,R_0603_1608Metric,166.0,-78.6,-90.0,top
R69,2k2,R_0603_1608Metric,162.8,-94.05,180.0,top
R7,100k,R_0603_1608Metric,174.775168,-75.933088,0.0,top
R70,2k2,R_0603_1608Metric,166.713313,-94.05,180.0,top
R71,33,R_0603_1608Metric,140.2,-86.2,180.0,top
R72,33,R_0603_1608Metric,96.861753,-106.608115,-90.0,top
R73,33,R_0603_1608Metric,136.560308,-75.151134,0.0,top
R74,1k8,R_0603_1608Metric,110.968954,-87.993954,180.0,top
R75,3k3,R_0603_1608Metric,111.0,-91.2,0.0,top
R76,2k2 / 0.5%,R_0603_1608Metric,112.0,-49.825,90.0,top
R77,33,R_0603_1608Metric,117.6,-75.6,-90.0,top
R78,33,R_0603_1608Metric,117.762573,-84.917289,90.0,top
R79,82,R_0603_1608Metric,120.525732,-80.135043,180.0,top
R8,100m,R_Shunt_Vishay_WSK2512_6332Metric_T1.19mm,78.695,-55.635,90.0,top
R80,110,R_0603_1608Metric,126.225,-81.8,180.0,top
R81,150,R_0603_1608Metric,153.445,-52.9,-90.0,top
R82,150,R_0603_1608Metric,155.215,-49.65,-90.0,top
R83,150,R_0603_1608Metric,156.715,-52.9,-90.0,top
R84,150,R_0603_1608Metric,158.215,-49.5,-90.0,top
R85,150,R_0603_1608Metric,159.715,-52.9,-90.0,top
R86,150,R_0603_1608Metric,161.215,-49.65,-90.0,top
R87,150,R_0603_1608Metric,162.715,-52.825,-90.0,top
R88,150,R_0603_1608Metric,167.045,-52.6525,-90.0,top
R89,150,R_0603_1608Metric,170.045,-52.6525,-90.0,top
R9,2k2,R_0603_1608Metric,177.936573,-75.933088,180.0,top
R90,150,R_0603_1608Metric,173.045,-52.6525,-90.0,top
R91,150,R_0603_1608Metric,165.545,-49.1525,-90.0,top
R92,150,R_0603_1608Metric,168.545,-49.1525,-90.0,top
R93,150,R_0603_1608Metric,171.545,-49.1525,-90.0,top
R94,150,R_0603_1608Metric,174.295,-49.1525,-90.0,top
R95,10k,R_0603_1608Metric,185.8,-78.0,0.0,top
R96,10k,R_1210_3225Metric,125.4,-118.4,0.0,top
R97,10k,R_1210_3225Metric,124.8,-112.6,0.0,top
R98,10k,R_0603_1608Metric,148.8,-107.2,0.0,top
R99,10k,R_0603_1608Metric,131.930914,-121.072343,0.0,top
S1,TS-1088-AR02016,SW_TS-1088-AR02016,184.35,-75.2,0.0,top
U1,RASPBERRY_PI_4B_4GB,MODULE_RASPBERRY_PI_4B_4GB,165.63,-92.43,0.0,top
U10,B0524S-2WR3,B_S-2WR2_MNS,87.88,-128.25,0.0,top
U11,INA219AxD,SOIC-8_3.9x4.9mm_P1.27mm,86.205,-53.955,180.0,top
U12,ULN2003ADR,SOIC-16_3.9x9.9mm_P1.27mm,189.55917,-83.649543,-90.0,top
U13,VEML6040,VISHAY_VEML6040_1.25X2X1,114.71838,-90.95,0.0,top
U14,XL-DB3161SRBC,HDSP-A151,182.54,-54.72,0.0,top
U15,XL-DB3161SRBC,HDSP-A151,193.87,-54.72,0.0,top
U16,ULN2003ADR,SOIC-16_3.9x9.9mm_P1.27mm,159.0,-58.8,90.0,top
U17,ULN2003ADR,SOIC-16_3.9x9.9mm_P1.27mm,170.47,-59.0,90.0,top
U2,MCP23017_SO,SOIC-28W_7.5x17.9mm_P1.27mm,137.58,-103.025,180.0,top
U3,MCP23017_SO,SOIC-28W_7.5x17.9mm_P1.27mm,187.59917,-98.574543,-90.0,top
U4,ADS1115IDGS,TSSOP-10_3x3mm_P0.5mm,93.577953,-55.371795,90.0,top
U5,ADS1115IDGS,TSSOP-10_3x3mm_P0.5mm,102.88,-55.371795,90.0,top
U6,ADS1115IDGS,TSSOP-10_3x3mm_P0.5mm,115.88,-56.2,90.0,top
U7,ADS1115IDGS,TSSOP-10_3x3mm_P0.5mm,124.2,-56.8,90.0,top
U8,B0512S-2WR3,B_S-2WR2_MNS,88.04,-111.501687,0.0,top
U9,B0524S-2WR3,B_S-2WR2_MNS,87.882081,-119.900787,0.0,top
